specimen_id,order,family,genus,species ,synonym,life_stage,lens,volume_mm3,area_mm2,breadth_mm,length_mm,width_mm,thickness_mm,flatness,anisotropy,elongation,sphericity ,eye_diameter_mm,axial_length_mm,lens_to_retina_mm,lens_diameter_mm,lens_depth_mm,sv_length_mm,stain,scan_type,adult_ecology,adult_ecology_2,ae_certainty,ae_source,activity_period,ap_source,ap_certainty ,comments,scan_source,scan_technician
USNM583203,anura,dendrobatidae,adelphobates,quinquevittatus,dendrobates_quinquevittatus,adult,left,0.397722,2.76793,0.979093,1.01296,0.873527,0.851009,0.764495,0.258789,0.969544,0.944893,2.2,1.8,1.5,0.84,0.8,16.23,unstained,micro_ct,ground-dwelling,terrestrial ,certain,Caldwell et al (1990),diurnal,Caldwell et al (1990),certain,,NMNH,Dr_Molly_Womack
USNM583203,anura,dendrobatidae,adelphobates,quinquevittatus,dendrobates_quinquevittatus,adult,right,0.392593,2.72786,0.97256,1.00116,0.863476,0.86306,0.76667,0.297968,0.91569,0.950512,2.2,NA,1.5,0.9,0.8,16.23,unstained,micro_ct,ground-dwelling,terrestrial ,certain,Caldwell et al (1990),diurnal,Caldwell et al (1990),certain,,NMNH,Dr_Molly_Womack
CAS-H-146957,anura,phyllomedusidae,agalychnis,callidryas,hyla_callidryas,adult,left,19.458,35.9019,3.47723,3.50541,3.31218,3.26196,0.902351,0.108485,0.987991,0.974464,6.1,5.8,4.8,3.41,3.3,,unstained,micro_ct,scansorial,terrestrial ,certain,AmphibiaWeb (2020),nocturnal,AmphibiaWeb (2020); AmphiBIO (2017),certain,,MorphoSource,
CAS-H-146957,anura,phyllomedusidae,agalychnis,callidryas,hyla_callidryas,adult,right,19.2582,36.0698,3.49013,3.53842,3.20637,3.35631,0.853085,0.153693,0.992054,0.963275,6.1,6,5.1,3.18,2.91,,unstained,micro_ct,scansorial,terrestrial ,certain,AmphibiaWeb (2020),nocturnal,AmphibiaWeb (2020); AmphiBIO (2017),certain,,MorphoSource,
KU-Herp-220284,anura,aromobatidae,allobates,femoralis,allobates_femoralis,adult,left,3.97322,12.8129,2.07544,2.16714,1.8753,,0.777006,0.24954,0.965836,0.946818,,,,,,,unstained,micro_ct,ground-dwelling,terrestrial ,somewhat certain,"AmphibiaWeb (2020), IUCN (2020)",diurnal,IUCN (2020),certain,,MorphoSource,
KU-Herp-220284,anura,aromobatidae,allobates,femoralis,allobates_femoralis,adult,right,4.04977,13.0418,2.12855,2.17895,1.86306,,0.769431,0.239079,0.988939,0.942108,,,,,,,unstained,micro_ct,ground-dwelling,terrestrial ,somewhat certain,"AmphibiaWeb (2020), IUCN (2020)",diurnal,IUCN (2020),certain,,MorphoSource,
MVZ92766,anura,alytidae ,alytes,obstetricans,alytes_obstetricans,adult,right,7.94622,19.7502,2.65155,2.67448,2.36904,2.33461,0.782768,0.226625,0.988,0.975036,4.9,4.2,3.4,2.54,2.14,38.6,unstained,micro_ct,ground-dwelling,terrestrial ,certain,AmphibiaWeb (2020),nocturnal,AmphiBIO (2017),uncertain,,NMNH,Dr_Molly_Womack
MVZ92766,anura,alytidae ,alytes,obstetricans,alytes_obstetricans,adult,left,8.0611,20.6302,2.76442,2.92241,2.37322,2.49129,0.776741,0.235445,0.984311,0.942417,4.9,4.1,3.4,2.59,2.26,38.6,unstained,micro_ct,ground-dwelling,terrestrial ,certain,AmphibiaWeb (2020),nocturnal,AmphiBIO (2017),uncertain,,NMNH,Dr_Molly_Womack
MVZ265833,anura,pyxicephalidae,amietia,angolensis,amietia_angolensis,adult,right,19.3272,37.1761,3.57238,3.73221,3.15522,3.30778,0.82146,0.204152,0.968821,0.936843,NA,NA,NA,NA,NA,59,unstained,micro_ct,semi-aquatic,semi-aquatic,certain,Halliday (2016),nocturnal,Anderson and Wiens (2017),certain,eye squished,NMNH,Dr_Molly_Womack
MVZ265833,anura,pyxicephalidae,amietia,angolensis,amietia_angolensis,adult,left,19.2636,37.023,3.5315,3.65782,3.17388,3.2326,0.82489,0.214078,0.95276,0.938651,7.2,6.4,4.8,3.08,2.88,59,unstained,micro_ct,semi-aquatic,semi-aquatic,certain,Halliday (2016),nocturnal,Anderson and Wiens (2017),certain,,NMNH,Dr_Molly_Womack
